Date,Open,High,Low,Close
2016-05-06,18.24,18.58,18.23,18.54
2016-05-09,18.49,18.8,18.35,18.49
2016-05-10,18.53,18.84,18.5,18.67
2016-05-11,18.66,18.8,18.55,18.64
2016-05-12,18.68,19.04,18.42,18.6
2016-05-13,18.54,18.59,18.11,18.22
2016-05-16,18.3,18.67,18.24,18.47
2016-05-17,18.41,19.09,18.17,18.52
2016-05-18,18.48,18.62,18.18,18.44
2016-05-19,18.37,18.9,18.37,18.85
2016-05-20,18.98,19.27,18.56,19.18
2016-05-23,19.24,19.26,18.77,18.77
2016-05-24,18.85,19.525,18.84,19.48
2016-05-25,19.5,19.89,19.48,19.81
2016-05-26,19.8,19.93,19.49,19.54
2016-05-27,19.56,19.86,19.47,19.83
2016-05-31,20,20.08,19.725,19.82
2016-06-01,19.82,19.9,19.4796,19.86
2016-06-02,19.78,19.78,19.44,19.54
2016-06-03,19.5,19.62,19.04,19.54
2016-06-06,19.59,19.89,19.54,19.81
2016-06-07,19.83,19.88,19.56,19.76
2016-06-08,19.81,20.01,19.5801,19.97
2016-06-09,19.85,19.97,19.72,19.9
2016-06-10,19.68,19.92,19.5,19.85
2016-06-13,19.74,19.93,19.55,19.8
2016-06-14,19.77,19.94,19.715,19.88
2016-06-15,19.84,19.98,19.53,19.65
2016-06-16,19.47,19.87,19.245,19.72
2016-06-17,19.76,19.91,19.6,19.64
2016-06-20,19.95,20.66,19.95,20.54
2016-06-21,20.25,20.29,19.72,19.86
2016-06-22,19.85,20.09,19.59,19.97
2016-06-23,20.07,20.52,19.9,20.46
2016-06-24,19.49,20.18,19.49,20.16
2016-06-27,19.79,19.875,19.47,19.65
2016-06-28,19.87,20.29,19.13,19.17
2016-06-29,19.39,19.86,19.33,19.78
2016-06-30,19.88,20.04,19.4,19.8
2016-07-01,19.75,20.47,19.75,20.4
2016-07-05,20.23,20.615,20.01,20.2
2016-07-06,20.08,20.32,19.9,20.2
2016-07-07,20.3,20.56,19.98,20.42
2016-07-08,20.54,21.54,20.54,21.47
2016-07-11,21.6,21.6,21.22,21.49
2016-07-12,21.01,21.68,21,21.56
2016-07-13,21.61,21.8,21.36,21.74
2016-07-14,21.8,22.09,21.5,21.56
2016-07-15,21.79,21.88,21.482,21.69
2016-07-18,21.57,21.87,21.56,21.71
2016-07-19,21.74,21.74,21.3005,21.4
2016-07-20,21.5,21.98,21.22,21.47
2016-07-21,21.41,21.51,21.14,21.32
2016-07-22,20.93,21.59,20.84,21.57
2016-07-25,21.6,21.67,21.29,21.37
2016-07-26,21.44,21.68,21.364,21.61
2016-07-27,21.71,21.9,21.59,21.69
2016-07-28,21.69,21.93,21.42,21.89
2016-07-29,21.82,21.85,21.51,21.65
2016-08-01,21.71,21.71,21.4,21.48
2016-08-02,21.41,21.44,21.11,21.17
2016-08-03,21.22,21.47,21.1,21.43
2016-08-04,21.42,21.62,21.34,21.52
2016-08-05,21.58,22.09,21.58,21.98
2016-08-08,21.99,22.09,21.73,21.75
2016-08-09,21.7,21.76,21.45,21.52
2016-08-10,21.48,21.75,21.24,21.4
2016-08-11,21.5,21.71,21.44,21.51
2016-08-12,21.53,21.65,21.27,21.42
2016-08-15,21.53,21.68,21.5,21.63
2016-08-16,21.46,21.55,21.13,21.43
2016-08-17,21.5,21.59,21.27,21.45
2016-08-18,21.63,21.63,21.38,21.59
2016-08-19,21.57,21.87,21.56,21.66
2016-08-22,21.59,21.78,21.49,21.72
2016-08-23,21.73,21.94,21.73,21.8
2016-08-24,21.76,21.98,21.7,21.78
2016-08-25,21.76,21.84,21.56,21.71
2016-08-26,21.73,21.87,21.33,21.38
2016-08-29,21.4,21.53,21.27,21.4
2016-08-30,21.28,21.66,21.28,21.56
2016-08-31,21.69,21.78,21.43,21.57
2016-09-01,21.65,21.96,21.39,21.93
2016-09-02,21.91,22.22,21.91,22.13
2016-09-06,22.1,22.26,21.94,21.97
2016-09-07,22.04,22.27,21.97,22.2
2016-09-08,22.1,22.19,21.77,22.12
2016-09-09,22.01,22.01,21.36,21.38
2016-09-12,21.34,21.76,21.29,21.72
2016-09-13,21.48,21.6,21.29,21.34
2016-09-14,21.38,21.45,21.24,21.25
2016-09-15,21.31,21.65,21.09,21.61
2016-09-16,21.65,22.03,21.445,21.6
2016-09-19,21.74,22.04,21.58,21.71
2016-09-20,21.73,21.77,21.46,21.48
2016-09-21,21.6,21.75,21.39,21.53
2016-09-22,21.72,21.79,21.5,21.68
2016-09-23,21.6,21.77,21.34,21.46
2016-09-26,21.28,21.5953,21.24,21.26
2016-09-27,21.22,21.22,20.7,20.72
2016-09-28,20.78,20.93,20.58,20.93
2016-09-29,20.95,21.0582,20.72,20.91
2016-09-30,20.93,21.21,20.91,21
2016-10-03,20.87,21.28,20.83,21.21
2016-10-04,21.21,21.395,20.96,20.99
2016-10-05,21.06,21.23,20.88,21
2016-10-06,20.86,21.05,20.71,20.77
2016-10-07,20.72,20.86,20.46,20.72
2016-10-10,20.9,22.156,19.8,20.8
2016-10-11,21,21,20.35,20.5
2016-10-12,20.65,20.7,20.3,20.5
2016-10-13,20.45,20.45,20,20.3
2016-10-14,20.25,20.35,19.6,19.7
