Date,Open,High,Low,Close
2016-06-21,8.84,9.06,8.67,8.9
2016-06-22,8.98,9.07,8.85,8.96
2016-06-23,9.05,9.23,9.02,9.1
2016-06-24,8.87,9.07,8.59,8.59
2016-06-27,8.65,8.69,8.43,8.49
2016-06-28,8.54,8.89,8.52,8.62
2016-06-29,8.68,8.97,8.62,8.97
2016-06-30,8.95,9.1,8.85,9.1
2016-07-01,9.12,9.2,9.02,9.12
2016-07-05,9.08,9.17,9.03,9.04
2016-07-06,8.99,9.005,8.83,8.91
2016-07-07,8.9,9.03,8.86,8.9
2016-07-08,8.91,9.15,8.91,9.01
2016-07-11,9.05,9.6,8.98,9.47
2016-07-12,9.55,9.76,9.38,9.64
2016-07-13,9.61,9.71,9.36,9.52
2016-07-14,9.67,9.7,9.54,9.55
2016-07-15,9.61,9.8,9.5,9.63
2016-07-18,9.66,9.89,9.55,9.77
2016-07-19,9.79,10,9.73,9.82
2016-07-20,9.82,9.95,9.725,9.8
2016-07-21,10,11.35,10,11
2016-07-22,11.1,11.1,10.59,10.66
2016-07-25,10.65,10.96,10.65,10.91
2016-07-26,10.85,10.93,10.53,10.66
2016-07-27,10.68,10.7,10.455,10.56
2016-07-28,10.57,10.62,10.2106,10.52
2016-07-29,10.52,10.57,10.36,10.51
2016-08-01,10.51,10.6,10.28,10.43
2016-08-02,10.43,10.43,10.11,10.11
2016-08-03,10.03,10.21,10,10.19
2016-08-04,10.15,10.31,9.961500000000001,10.06
2016-08-05,10.06,10.49,10.05,10.4
2016-08-08,10.44,10.485,10.38,10.42
2016-08-09,10.41,10.515,10.405,10.44
2016-08-10,10.48,10.83,10.37,10.8
2016-08-11,10.81,11.4,10.8,10.98
2016-08-12,10.85,10.92,10.73,10.77
2016-08-15,10.77,10.91,10.69,10.71
2016-08-16,10.68,10.74,10.58,10.7
2016-08-17,10.67,10.67,10.51,10.58
2016-08-18,10.54,10.7,10.49,10.59
2016-08-19,10.61,10.77,10.41,10.69
2016-08-22,10.65,10.75,10.5546,10.71
2016-08-23,10.8,11.07,10.8,10.97
2016-08-24,11.02,11.1,10.975,10.99
2016-08-25,10.91,11.045,10.9,10.99
2016-08-26,11.05,11.23,10.97,11.07
2016-08-29,11.11,11.32,11.1,11.14
2016-08-30,11.15,11.32,11.15,11.3
2016-08-31,11.26,11.36,11.2,11.23
2016-09-01,11.28,11.35,10.97,11.02
2016-09-02,11.1,11.23,11.05,11.23
2016-09-06,11.28,11.38,11.16,11.19
2016-09-07,11.2,11.59,11.14,11.56
2016-09-08,11.58,11.61,11.18,11.33
2016-09-09,11.3,11.43,10.97,10.97
2016-09-12,10.87,11.27,10.75,11.2
2016-09-13,11.19,11.19,10.99,11.02
2016-09-14,11.04,11.15,10.97,11
2016-09-15,10.98,11.325,10.92,11.27
2016-09-16,11.27,11.34,11.085,11.15
2016-09-19,11.23,11.36,10.95,11.05
2016-09-20,11.13,11.22,10.99,11.15
2016-09-21,11.14,11.71,11.14,11.66
2016-09-22,11.75,11.8,11.53,11.78
2016-09-23,11.77,12,11.7,11.94
2016-09-26,11.91,11.95,11.675,11.71
2016-09-27,11.68,11.76,11.61,11.73
2016-09-28,11.69,11.86,11.5327,11.79
2016-09-29,11.79,11.95,11.64,11.72
2016-09-30,11.73,11.98,11.69,11.92
2016-10-03,11.85,12.14,11.84,11.93
2016-10-04,12.01,12.17,11.93,11.97
2016-10-05,12,12.14,11.89,11.91
2016-10-06,11.83,11.83,11.74,11.77
2016-10-07,11.76,11.82,11.71,11.75
2016-10-10,11.82,12.19,11.82,12.04
2016-10-11,12.05,12.2,11.88,12
2016-10-12,11.95,12.115,11.81,12.09
2016-10-13,11.99,12.52,11.99,12.12
2016-10-14,12.13,12.3718,11.96,12.12
