FHN,12104632,1954673.416667,First Horizon National Corp,15.06,2.0,-0.42,-2.72,15.32,15.34,14.98,3176014,3533649842,232019031,5586340,5.2412,226432691
IPCI,1192293,409651.350000,Intellipharmaceutics International Inc. - Common Stock,2.9,4.0,-0.09,-2.69,3.05,3.08,2.72,766590,60368832,28747063,0,6.579,28747063
OASM,9309,4017.266667,Oasmia Pharmaceutical AB - American Depositary Shares,2.5199,4.0,-0.15,-5.27,2.5227,2.56,2.51,6761,106851635,35736333,0,null,35736333
